model,split,architecture,metric,numerator,denominator,percentage
SmolLM2,development_model_specific,naive,PCR,16,32,50.0
SmolLM2,development_model_specific,naive,ECR,16,32,50.0
SmolLM2,development_model_specific,naive,EVR,16,32,50.0
SmolLM2,development_model_specific,prompt_defense,PCR,11,32,34.375
SmolLM2,development_model_specific,prompt_defense,ECR,11,32,34.375
SmolLM2,development_model_specific,prompt_defense,EVR,11,32,34.375
SmolLM2,development_model_specific,policy_gate,PCR,16,32,50.0
SmolLM2,development_model_specific,policy_gate,ECR,16,32,50.0
SmolLM2,development_model_specific,policy_gate,EVR,0,32,0.0
Qwen2.5-7B,development_model_specific,naive,PCR,29,46,63.04347826086956
Qwen2.5-7B,development_model_specific,naive,ECR,29,46,63.04347826086956
Qwen2.5-7B,development_model_specific,naive,EVR,29,46,63.04347826086956
Qwen2.5-7B,development_model_specific,prompt_defense,PCR,24,46,52.17391304347826
Qwen2.5-7B,development_model_specific,prompt_defense,ECR,24,46,52.17391304347826
Qwen2.5-7B,development_model_specific,prompt_defense,EVR,24,46,52.17391304347826
Qwen2.5-7B,development_model_specific,policy_gate,PCR,29,46,63.04347826086956
Qwen2.5-7B,development_model_specific,policy_gate,ECR,29,46,63.04347826086956
Qwen2.5-7B,development_model_specific,policy_gate,EVR,0,46,0.0
Phi-4-mini,development_model_specific,naive,PCR,19,36,52.77777777777778
Phi-4-mini,development_model_specific,naive,ECR,19,36,52.77777777777778
Phi-4-mini,development_model_specific,naive,EVR,19,36,52.77777777777778
Phi-4-mini,development_model_specific,prompt_defense,PCR,15,36,41.666666666666664
Phi-4-mini,development_model_specific,prompt_defense,ECR,15,36,41.666666666666664
Phi-4-mini,development_model_specific,prompt_defense,EVR,15,36,41.666666666666664
Phi-4-mini,development_model_specific,policy_gate,PCR,19,36,52.77777777777778
Phi-4-mini,development_model_specific,policy_gate,ECR,19,36,52.77777777777778
Phi-4-mini,development_model_specific,policy_gate,EVR,0,36,0.0
