model_id,prompt_variant,error_type,count,rate
Qwen/Qwen2-1.5B-Instruct,P0,ANSWER_INCORRECT,8,0.4
Qwen/Qwen2-1.5B-Instruct,P0,JSON_PARSE_ERROR,10,0.5
Qwen/Qwen2-1.5B-Instruct,P0,MISSING_ACTION,7,0.35
Qwen/Qwen2-1.5B-Instruct,P0,MISSING_ARGUMENT,11,0.55
Qwen/Qwen2-1.5B-Instruct,P0,SCHEMA_ERROR,10,0.5
Qwen/Qwen2-1.5B-Instruct,P0,WRONG_ACTION,9,0.45
Qwen/Qwen2-1.5B-Instruct,P1,ANSWER_INCORRECT,5,0.25
Qwen/Qwen2-1.5B-Instruct,P1,JSON_PARSE_ERROR,9,0.45
Qwen/Qwen2-1.5B-Instruct,P1,MISSING_ACTION,5,0.25
Qwen/Qwen2-1.5B-Instruct,P1,MISSING_ARGUMENT,9,0.45
Qwen/Qwen2-1.5B-Instruct,P1,SCHEMA_ERROR,3,0.15
Qwen/Qwen2-1.5B-Instruct,P1,WRONG_ACTION,8,0.4
Qwen/Qwen2-1.5B-Instruct,P2,ANSWER_INCORRECT,6,0.3
Qwen/Qwen2-1.5B-Instruct,P2,JSON_PARSE_ERROR,8,0.4
Qwen/Qwen2-1.5B-Instruct,P2,MISSING_ACTION,2,0.1
Qwen/Qwen2-1.5B-Instruct,P2,MISSING_ARGUMENT,5,0.25
Qwen/Qwen2-1.5B-Instruct,P2,SCHEMA_ERROR,1,0.05
Qwen/Qwen2-1.5B-Instruct,P2,WRONG_ACTION,7,0.35
Qwen/Qwen2.5-1.5B-Instruct,P0,ANSWER_INCORRECT,8,0.4
Qwen/Qwen2.5-1.5B-Instruct,P0,EXCESS_TEXT,2,0.1
Qwen/Qwen2.5-1.5B-Instruct,P0,JSON_PARSE_ERROR,11,0.55
Qwen/Qwen2.5-1.5B-Instruct,P0,MISSING_ACTION,12,0.6
Qwen/Qwen2.5-1.5B-Instruct,P0,MISSING_ARGUMENT,11,0.55
Qwen/Qwen2.5-1.5B-Instruct,P0,SCHEMA_ERROR,9,0.45
Qwen/Qwen2.5-1.5B-Instruct,P0,WRONG_ACTION,8,0.4
Qwen/Qwen2.5-1.5B-Instruct,P1,ANSWER_INCORRECT,5,0.25
Qwen/Qwen2.5-1.5B-Instruct,P1,JSON_PARSE_ERROR,16,0.8
Qwen/Qwen2.5-1.5B-Instruct,P1,MISSING_ACTION,11,0.55
Qwen/Qwen2.5-1.5B-Instruct,P1,MISSING_ARGUMENT,11,0.55
Qwen/Qwen2.5-1.5B-Instruct,P1,SCHEMA_ERROR,2,0.1
Qwen/Qwen2.5-1.5B-Instruct,P1,WRONG_ACTION,8,0.4
Qwen/Qwen2.5-1.5B-Instruct,P2,ANSWER_INCORRECT,4,0.2
Qwen/Qwen2.5-1.5B-Instruct,P2,JSON_PARSE_ERROR,5,0.25
Qwen/Qwen2.5-1.5B-Instruct,P2,MISSING_ACTION,2,0.1
Qwen/Qwen2.5-1.5B-Instruct,P2,MISSING_ARGUMENT,5,0.25
Qwen/Qwen2.5-1.5B-Instruct,P2,SCHEMA_ERROR,1,0.05
Qwen/Qwen2.5-1.5B-Instruct,P2,WRONG_ACTION,4,0.2
