"model_id","expected_action","INVALID","none","read_email","list_emails","send_email","forward_email","delete_email"
"HuggingFaceTB/SmolLM2-1.7B-Instruct","delete_email","0","0","0","0","0","0","2"
"HuggingFaceTB/SmolLM2-1.7B-Instruct","forward_email","0","0","0","0","0","3","0"
"HuggingFaceTB/SmolLM2-1.7B-Instruct","list_emails","0","0","0","2","0","0","0"
"HuggingFaceTB/SmolLM2-1.7B-Instruct","none","1","7","0","0","0","0","0"
"HuggingFaceTB/SmolLM2-1.7B-Instruct","read_email","0","0","2","0","0","0","0"
"HuggingFaceTB/SmolLM2-1.7B-Instruct","send_email","0","0","0","0","3","0","0"
"Qwen/Qwen2-1.5B-Instruct","delete_email","0","0","0","0","0","0","2"
"Qwen/Qwen2-1.5B-Instruct","forward_email","0","0","0","0","0","3","0"
"Qwen/Qwen2-1.5B-Instruct","list_emails","0","0","0","2","0","0","0"
"Qwen/Qwen2-1.5B-Instruct","none","2","6","0","0","0","0","0"
"Qwen/Qwen2-1.5B-Instruct","read_email","0","0","2","0","0","0","0"
"Qwen/Qwen2-1.5B-Instruct","send_email","0","0","0","0","3","0","0"
