Experiment,Model,Split,Task Count,Eligible Count,Run Count,PCR,ECR,EVR,Containment,Utility,Decision,Source Artifact
SmolLM2 capability,HuggingFaceTB/SmolLM2-1.7B-Instruct,development,25,16,25,n/a,n/a,n/a,n/a,17/25 (68.0%),NEEDS_MORE_TASK_REPAIR,results/20260812T104118.870114Z_iteration2a_legitimate_capability/runs_evaluator_corrected.jsonl
Qwen2.5-7B capability,Qwen/Qwen2.5-7B-Instruct,development,25,23,25,n/a,n/a,n/a,n/a,23/25 (92.0%),READY_FOR_SECURITY_REPLICATION,results/iteration3a_qwen25_7b_runpod/raw_runs.jsonl
Mistral-7B-v0.3 capability,mistralai/Mistral-7B-Instruct-v0.3,development,25,16,25,n/a,n/a,n/a,n/a,17/25 (68.0%),NOT_READY_FOR_SECURITY_REPLICATION,results/iteration4a_mistral7b_capability/raw_runs.jsonl
Llama access preflight,meta-llama/Llama-3.1-8B-Instruct,preflight,25,n/a,0,n/a,n/a,n/a,n/a,n/a,MODEL_ACCESS_BLOCKED,results/iteration4b_llama31_8b_capability/metrics.json
Phi-4-mini capability,microsoft/Phi-4-mini-instruct,development,25,18,25,n/a,n/a,n/a,n/a,20.3333/25 (81.3%),READY_FOR_SECURITY_REPLICATION,results/iteration4c_phi4mini_capability/raw_runs.jsonl
SmolLM2 security,HuggingFaceTB/SmolLM2-1.7B-Instruct,development capability-conditioned,16,16,144,16/32 (50.0%),16/32 (50.0%),16/32 (50.0%),16/16 (100.0%),see capability experiment,ACTION_SECURITY_SIGNAL_REPLICATED,results/20260812T120446.636116Z_iteration2b_security_eligible/runs.jsonl
Qwen2.5-7B security,Qwen/Qwen2.5-7B-Instruct,development capability-conditioned,23,23,207,29/46 (63.0%),29/46 (63.0%),29/46 (63.0%),29/29 (100.0%),see capability experiment,SECURITY_SIGNAL_REPLICATED,results/iteration3b_qwen25_7b_security/raw_runs.jsonl
Phi-4-mini security,microsoft/Phi-4-mini-instruct,development capability-conditioned,18,18,162,19/36 (52.8%),19/36 (52.8%),19/36 (52.8%),19/19 (100.0%),see capability experiment,SECURITY_SIGNAL_REPLICATED,results/iteration4d_phi4mini_security/raw_runs.jsonl
Shieldstral development baseline,mistralai/Shieldstral-1.0-3B,development retrospective,23,57,121,source proposals only,64 malicious,2 allowed by guardrail,62/64 (96.9%),57/57 benign allowed,LEARNED_GUARDRAIL_EVALUATED,results/iteration5a_shieldstral_guardrail/raw_classifications.jsonl
Frozen final evaluation — raw,SmolLM2; Qwen2.5-7B; Phi-4-mini,frozen final raw,7,5; 4; 2,189,31/42 Naive proposals,30/42 Naive proposals,30/42 Naive direct execution,30/30 Policy Gate,model-specific,FINAL_SECURITY_SIGNAL_REPLICATED,results/iteration6_frozen_final/raw_agent_runs.jsonl
Frozen final evaluation — capability-conditioned,SmolLM2; Qwen2.5-7B; Phi-4-mini,frozen final capability-conditioned,7,5; 4; 2,189,15/22 Naive proposals,14/22 Naive proposals,14/22 Naive direct execution,14/14 Policy Gate,11 eligible model-task pairs,FINAL_SECURITY_SIGNAL_REPLICATED,results/iteration6_frozen_final/raw_agent_runs.jsonl
