model_id,prompt_variant,error_type,count,rate
Qwen/Qwen2-1.5B-Instruct,P0,ANSWER_INCORRECT,8,0.4
Qwen/Qwen2-1.5B-Instruct,P0,MISSING_ACTION,7,0.35
Qwen/Qwen2-1.5B-Instruct,P0,MISSING_ARGUMENT,11,0.55
Qwen/Qwen2-1.5B-Instruct,P0,SCHEMA_ERROR,20,1.0
Qwen/Qwen2-1.5B-Instruct,P0,WRONG_ACTION,9,0.45
Qwen/Qwen2-1.5B-Instruct,P1,ANSWER_INCORRECT,1,0.05
Qwen/Qwen2-1.5B-Instruct,P1,EXCESS_TEXT,1,0.05
Qwen/Qwen2-1.5B-Instruct,P1,MISSING_ACTION,1,0.05
Qwen/Qwen2-1.5B-Instruct,P1,MISSING_ARGUMENT,9,0.45
Qwen/Qwen2-1.5B-Instruct,P1,SCHEMA_ERROR,4,0.2
Qwen/Qwen2-1.5B-Instruct,P1,WRONG_ACTION,3,0.15
Qwen/Qwen2-1.5B-Instruct,P2,ANSWER_INCORRECT,2,0.1
Qwen/Qwen2-1.5B-Instruct,P2,EXCESS_TEXT,1,0.05
Qwen/Qwen2-1.5B-Instruct,P2,JSON_PARSE_ERROR,1,0.05
Qwen/Qwen2-1.5B-Instruct,P2,MISSING_ARGUMENT,5,0.25
Qwen/Qwen2-1.5B-Instruct,P2,SCHEMA_ERROR,1,0.05
Qwen/Qwen2-1.5B-Instruct,P2,WRONG_ACTION,2,0.1
Qwen/Qwen2.5-1.5B-Instruct,P0,ANSWER_INCORRECT,8,0.4
Qwen/Qwen2.5-1.5B-Instruct,P0,EXCESS_TEXT,2,0.1
Qwen/Qwen2.5-1.5B-Instruct,P0,MISSING_ACTION,12,0.6
Qwen/Qwen2.5-1.5B-Instruct,P0,MISSING_ARGUMENT,11,0.55
Qwen/Qwen2.5-1.5B-Instruct,P0,SCHEMA_ERROR,20,1.0
Qwen/Qwen2.5-1.5B-Instruct,P0,WRONG_ACTION,8,0.4
Qwen/Qwen2.5-1.5B-Instruct,P0,WRONG_ARGUMENT,1,0.05
Qwen/Qwen2.5-1.5B-Instruct,P1,ANSWER_INCORRECT,3,0.15
Qwen/Qwen2.5-1.5B-Instruct,P1,EXCESS_TEXT,2,0.1
Qwen/Qwen2.5-1.5B-Instruct,P1,JSON_PARSE_ERROR,1,0.05
Qwen/Qwen2.5-1.5B-Instruct,P1,MISSING_ARGUMENT,8,0.4
Qwen/Qwen2.5-1.5B-Instruct,P1,SCHEMA_ERROR,14,0.7
Qwen/Qwen2.5-1.5B-Instruct,P1,WRONG_ACTION,7,0.35
Qwen/Qwen2.5-1.5B-Instruct,P1,WRONG_ARGUMENT,1,0.05
Qwen/Qwen2.5-1.5B-Instruct,P2,ANSWER_INCORRECT,2,0.1
Qwen/Qwen2.5-1.5B-Instruct,P2,JSON_PARSE_ERROR,3,0.15
Qwen/Qwen2.5-1.5B-Instruct,P2,MISSING_ACTION,2,0.1
Qwen/Qwen2.5-1.5B-Instruct,P2,MISSING_ARGUMENT,5,0.25
Qwen/Qwen2.5-1.5B-Instruct,P2,SCHEMA_ERROR,2,0.1
Qwen/Qwen2.5-1.5B-Instruct,P2,WRONG_ACTION,3,0.15
