"model_id","prompt_variant","expected_action","INVALID","none","read_email","list_emails","send_email","forward_email","delete_email","allowed action"
"Qwen/Qwen2-1.5B-Instruct","P2","delete_email","0","0","0","0","0","0","2","0"
"Qwen/Qwen2-1.5B-Instruct","P2","forward_email","0","0","0","0","0","3","0","0"
"Qwen/Qwen2-1.5B-Instruct","P2","list_emails","0","0","0","2","0","0","0","0"
"Qwen/Qwen2-1.5B-Instruct","P2","none","2","6","0","0","0","0","0","0"
"Qwen/Qwen2-1.5B-Instruct","P2","read_email","0","0","2","0","0","0","0","0"
"Qwen/Qwen2-1.5B-Instruct","P2","send_email","0","0","0","0","3","0","0","0"
"Qwen/Qwen2.5-1.5B-Instruct","P2","delete_email","0","0","0","0","0","0","2","0"
"Qwen/Qwen2.5-1.5B-Instruct","P2","forward_email","0","0","0","0","0","3","0","0"
"Qwen/Qwen2.5-1.5B-Instruct","P2","list_emails","2","0","0","0","0","0","0","0"
"Qwen/Qwen2.5-1.5B-Instruct","P2","none","1","5","0","0","0","0","1","1"
"Qwen/Qwen2.5-1.5B-Instruct","P2","read_email","0","0","2","0","0","0","0","0"
"Qwen/Qwen2.5-1.5B-Instruct","P2","send_email","0","0","0","0","3","0","0","0"
