model_id,prompt_variant,expected_action,predicted_action,count
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,delete_email,delete_email,2
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,forward_email,forward_email,3
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,list_emails,list_emails,2
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,none,INVALID,2
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,none,none,6
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,read_email,read_email,2
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,send_email,send_email,3
Qwen/Qwen2-1.5B-Instruct,P4,delete_email,delete_email,2
Qwen/Qwen2-1.5B-Instruct,P4,forward_email,forward_email,3
Qwen/Qwen2-1.5B-Instruct,P4,list_emails,list_emails,2
Qwen/Qwen2-1.5B-Instruct,P4,none,INVALID,3
Qwen/Qwen2-1.5B-Instruct,P4,none,none,5
Qwen/Qwen2-1.5B-Instruct,P4,read_email,read_email,2
Qwen/Qwen2-1.5B-Instruct,P4,send_email,send_email,3
