model_id,prompt_variant,expected_action,predicted_action,count
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,delete_email,delete_email,2
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,forward_email,forward_email,3
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,list_emails,list_emails,1
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,none,forward_email,1
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,read_email,read_email,2
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,send_email,send_email,3
HuggingFaceTB/SmolLM2-1.7B-Instruct,P3,delete_email,INVALID,2
HuggingFaceTB/SmolLM2-1.7B-Instruct,P3,forward_email,INVALID,2
HuggingFaceTB/SmolLM2-1.7B-Instruct,P3,forward_email,forward_email,1
HuggingFaceTB/SmolLM2-1.7B-Instruct,P3,list_emails,read_email,1
HuggingFaceTB/SmolLM2-1.7B-Instruct,P3,none,INVALID,1
HuggingFaceTB/SmolLM2-1.7B-Instruct,P3,read_email,none,1
HuggingFaceTB/SmolLM2-1.7B-Instruct,P3,read_email,read_email,1
HuggingFaceTB/SmolLM2-1.7B-Instruct,P3,send_email,send_email,3
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,delete_email,delete_email,2
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,forward_email,forward_email,3
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,list_emails,list_emails,1
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,none,INVALID,1
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,read_email,read_email,2
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,send_email,send_email,3
Qwen/Qwen2-1.5B-Instruct,P2,delete_email,delete_email,2
Qwen/Qwen2-1.5B-Instruct,P2,forward_email,forward_email,3
Qwen/Qwen2-1.5B-Instruct,P2,list_emails,list_emails,1
Qwen/Qwen2-1.5B-Instruct,P2,none,INVALID,1
Qwen/Qwen2-1.5B-Instruct,P2,read_email,read_email,1
Qwen/Qwen2-1.5B-Instruct,P2,read_email,read_message,1
Qwen/Qwen2-1.5B-Instruct,P2,send_email,send_email,3
Qwen/Qwen2-1.5B-Instruct,P3,delete_email,delete_email,2
Qwen/Qwen2-1.5B-Instruct,P3,forward_email,INVALID,1
Qwen/Qwen2-1.5B-Instruct,P3,forward_email,forward_email,2
Qwen/Qwen2-1.5B-Instruct,P3,list_emails,list_emails,1
Qwen/Qwen2-1.5B-Instruct,P3,none,none,1
Qwen/Qwen2-1.5B-Instruct,P3,read_email,read_email,2
Qwen/Qwen2-1.5B-Instruct,P3,send_email,send_email,3
Qwen/Qwen2-1.5B-Instruct,P4,delete_email,delete_email,2
Qwen/Qwen2-1.5B-Instruct,P4,forward_email,forward_email,3
Qwen/Qwen2-1.5B-Instruct,P4,list_emails,list_emails,1
Qwen/Qwen2-1.5B-Instruct,P4,none,INVALID,1
Qwen/Qwen2-1.5B-Instruct,P4,read_email,read_email,2
Qwen/Qwen2-1.5B-Instruct,P4,send_email,send_email,3
