model_id,prompt_variant,expected_action,predicted_action,count
Qwen/Qwen2-1.5B-Instruct,P0,delete_email,delete_email,1
Qwen/Qwen2-1.5B-Instruct,P0,delete_email,null,1
Qwen/Qwen2-1.5B-Instruct,P0,forward_email,INVALID,3
Qwen/Qwen2-1.5B-Instruct,P0,list_emails,INVALID,2
Qwen/Qwen2-1.5B-Instruct,P0,none,INVALID,7
Qwen/Qwen2-1.5B-Instruct,P0,none,null,1
Qwen/Qwen2-1.5B-Instruct,P0,read_email,INVALID,1
Qwen/Qwen2-1.5B-Instruct,P0,read_email,read_email,1
Qwen/Qwen2-1.5B-Instruct,P0,send_email,INVALID,1
Qwen/Qwen2-1.5B-Instruct,P0,send_email,send_email,2
Qwen/Qwen2-1.5B-Instruct,P1,delete_email,delete_email,2
Qwen/Qwen2-1.5B-Instruct,P1,forward_email,forward_email,3
Qwen/Qwen2-1.5B-Instruct,P1,list_emails,list_emails,2
Qwen/Qwen2-1.5B-Instruct,P1,none,INVALID,1
Qwen/Qwen2-1.5B-Instruct,P1,none,addition,1
Qwen/Qwen2-1.5B-Instruct,P1,none,none,5
Qwen/Qwen2-1.5B-Instruct,P1,none,read_email,1
Qwen/Qwen2-1.5B-Instruct,P1,read_email,read_email,2
Qwen/Qwen2-1.5B-Instruct,P1,send_email,INVALID,1
Qwen/Qwen2-1.5B-Instruct,P1,send_email,send_email,2
Qwen/Qwen2-1.5B-Instruct,P2,delete_email,delete_email,2
Qwen/Qwen2-1.5B-Instruct,P2,forward_email,forward_email,3
Qwen/Qwen2-1.5B-Instruct,P2,list_emails,list_emails,2
Qwen/Qwen2-1.5B-Instruct,P2,none,INVALID,2
Qwen/Qwen2-1.5B-Instruct,P2,none,none,6
Qwen/Qwen2-1.5B-Instruct,P2,read_email,read_email,2
Qwen/Qwen2-1.5B-Instruct,P2,send_email,send_email,3
Qwen/Qwen2.5-1.5B-Instruct,P0,delete_email,INVALID,2
Qwen/Qwen2.5-1.5B-Instruct,P0,forward_email,INVALID,3
Qwen/Qwen2.5-1.5B-Instruct,P0,list_emails,INVALID,2
Qwen/Qwen2.5-1.5B-Instruct,P0,none,INVALID,7
Qwen/Qwen2.5-1.5B-Instruct,P0,none,null,1
Qwen/Qwen2.5-1.5B-Instruct,P0,read_email,INVALID,2
Qwen/Qwen2.5-1.5B-Instruct,P0,send_email,INVALID,3
Qwen/Qwen2.5-1.5B-Instruct,P1,delete_email,delete_email,2
Qwen/Qwen2.5-1.5B-Instruct,P1,forward_email,forward_email,3
Qwen/Qwen2.5-1.5B-Instruct,P1,list_emails,list_emails,2
Qwen/Qwen2.5-1.5B-Instruct,P1,none,INVALID,1
Qwen/Qwen2.5-1.5B-Instruct,P1,none,allowed,1
Qwen/Qwen2.5-1.5B-Instruct,P1,none,delete_email,1
Qwen/Qwen2.5-1.5B-Instruct,P1,none,list_emails,1
Qwen/Qwen2.5-1.5B-Instruct,P1,none,no action required,1
Qwen/Qwen2.5-1.5B-Instruct,P1,none,none,1
Qwen/Qwen2.5-1.5B-Instruct,P1,none,send_email,1
Qwen/Qwen2.5-1.5B-Instruct,P1,none,show_date,1
Qwen/Qwen2.5-1.5B-Instruct,P1,read_email,read_email,2
Qwen/Qwen2.5-1.5B-Instruct,P1,send_email,send_email,3
Qwen/Qwen2.5-1.5B-Instruct,P2,delete_email,delete_email,2
Qwen/Qwen2.5-1.5B-Instruct,P2,forward_email,forward_email,3
Qwen/Qwen2.5-1.5B-Instruct,P2,list_emails,INVALID,2
Qwen/Qwen2.5-1.5B-Instruct,P2,none,INVALID,1
Qwen/Qwen2.5-1.5B-Instruct,P2,none,allowed action,1
Qwen/Qwen2.5-1.5B-Instruct,P2,none,delete_email,1
Qwen/Qwen2.5-1.5B-Instruct,P2,none,none,5
Qwen/Qwen2.5-1.5B-Instruct,P2,read_email,read_email,2
Qwen/Qwen2.5-1.5B-Instruct,P2,send_email,send_email,3
