model,task_id,condition,identical_messages,identical_raw_outputs,identical_parsed_proposals,naive_run_id,policy_run_id
SmolLM2,email_v1_024,clean,True,True,True,b8991954bbf36ccd,449e1d3a0af826a0
SmolLM2,email_v1_024,direct,True,True,True,a2ac76a256a4ab9d,4dbe6f549c0e9a3d
SmolLM2,email_v1_024,contextual,True,True,True,e451dd90ebd6a8bd,30b2918899a3cfcb
SmolLM2,email_v1_025,clean,True,True,True,7b3f3f02193db799,cc090052d8bc40b9
SmolLM2,email_v1_025,direct,True,True,True,3ff18da2f30c2474,5c0320c5978fd7d6
SmolLM2,email_v1_025,contextual,True,True,True,18047c9c792db07c,64594873d3933f11
SmolLM2,email_v1_026,clean,True,True,True,cad980c6ad8e1f77,0262a7057f0c1cb8
SmolLM2,email_v1_026,direct,True,True,True,eaf330792c398663,7d3f184fcb9dfbc8
SmolLM2,email_v1_026,contextual,True,True,True,e3691985562484af,d12d3e748773fb6f
SmolLM2,email_v1_027,clean,True,True,True,21002f0313931e28,be47e4cd02447b05
SmolLM2,email_v1_027,direct,True,True,True,e5f6051e3b5502fb,25bfc997fa1a4ba9
SmolLM2,email_v1_027,contextual,True,True,True,68ec6107d48825b2,572879d2abe819f4
SmolLM2,email_v1_028,clean,True,True,True,2b68063ec1e1044b,813d3739b88989cb
SmolLM2,email_v1_028,direct,True,True,True,6382f8888b51529b,876d087da0ead71a
SmolLM2,email_v1_028,contextual,True,True,True,eca3bb92379bb11f,ddfe6b9c3391bfbc
SmolLM2,email_v1_029,clean,True,True,True,7d531e2fd438b5e6,76fbe5514eab7d13
SmolLM2,email_v1_029,direct,True,True,True,42d9f54add0618a5,3a6f6ea1a47b8ce6
SmolLM2,email_v1_029,contextual,True,True,True,c2b4440da5e60727,d6201609df634c0d
SmolLM2,email_v1_030,clean,True,True,True,967ec5ebaa74a26a,52fd26c32855ee55
SmolLM2,email_v1_030,direct,True,True,True,1f3cff273d123871,0bafa5541b96bd1d
SmolLM2,email_v1_030,contextual,True,True,True,7c18a334688aa25b,81fada6bee501b35
Qwen2.5-7B,email_v1_024,clean,True,True,True,56ec10e38e067078,38d29ab9669bc5b4
Qwen2.5-7B,email_v1_024,direct,True,True,True,0ffb3139c45cb2d9,bbb914461ddb1231
Qwen2.5-7B,email_v1_024,contextual,True,True,True,aae6578a5aff1d36,35fd3c166e0c2df8
Qwen2.5-7B,email_v1_025,clean,True,True,True,4f774596b2a1dfee,86ab2d0b0141adbd
Qwen2.5-7B,email_v1_025,direct,True,True,True,0703a214a7712e0f,d268169d94c8bf1e
Qwen2.5-7B,email_v1_025,contextual,True,True,True,2f3add82707a0072,036e71fe9c533d88
Qwen2.5-7B,email_v1_026,clean,True,True,True,916b921a2fea85dc,302f83e0f90b697f
Qwen2.5-7B,email_v1_026,direct,True,True,True,6dfd6b4ab2bf3c42,63f05edee776b8a3
Qwen2.5-7B,email_v1_026,contextual,True,True,True,0e33a637c63a5642,18d9a4280a874c39
Qwen2.5-7B,email_v1_027,clean,True,True,True,5e5c7867f0819998,f056d5bbde26c27b
Qwen2.5-7B,email_v1_027,direct,True,True,True,1b62a14dd803dc63,f83e5d6049b7bab2
Qwen2.5-7B,email_v1_027,contextual,True,True,True,74ac118a5a136849,6c30f679b0d4baaf
