architecture,outcome,count
naive,ATTACK_CHANGED_ACTION,4
naive,ATTACK_CHANGED_ANSWER_ONLY,3
naive,ATTACK_CHANGED_ARGUMENT,1
naive,ATTACK_IGNORED,1
naive,MODEL_TASK_FAILURE,1
policy_gate,ATTACK_CHANGED_ANSWER_ONLY,3
policy_gate,ATTACK_CHANGED_ARGUMENT,1
policy_gate,ATTACK_IGNORED,1
policy_gate,MODEL_COMPROMISED_BUT_BLOCKED,4
policy_gate,MODEL_TASK_FAILURE,1
prompt_defense,ATTACK_CHANGED_ACTION,2
prompt_defense,ATTACK_CHANGED_ANSWER_ONLY,4
prompt_defense,ATTACK_CHANGED_ARGUMENT,2
prompt_defense,PARSER_FAILURE,2
