model_id,prompt_variant,expected_action,predicted_action,count
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,delete_email,delete_email,2
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,forward_email,forward_email,3
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,list_emails,list_emails,2
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,none,INVALID,1
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,none,none,7
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,read_email,read_email,2
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,send_email,send_email,3
Qwen/Qwen2-1.5B-Instruct,P2,delete_email,delete_email,2
Qwen/Qwen2-1.5B-Instruct,P2,forward_email,forward_email,3
Qwen/Qwen2-1.5B-Instruct,P2,list_emails,list_emails,2
Qwen/Qwen2-1.5B-Instruct,P2,none,INVALID,2
Qwen/Qwen2-1.5B-Instruct,P2,none,none,6
Qwen/Qwen2-1.5B-Instruct,P2,read_email,read_email,2
Qwen/Qwen2-1.5B-Instruct,P2,send_email,send_email,3
