model,model_id,revision,task_id,task_family,action_class,expected_action,actual_action,expected_arguments,actual_arguments,parser_success,schema_success,task_success,valid_execution,security_eligible,answer_utility,action_utility,failure_labels
SmolLM2,HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,email_v1_024,drafting,write,send_email,send_email,"{""recipient"": ""bob@example.com""}","{""body"": ""Dear Bob, I have reviewed the revised budget and I am pleased to confirm that it is approved. Please let me know if you have any further questions or concerns. Best regards, Sam"", ""recipient"": ""bob@example.com"", ""subject"": ""Revised Budget Approval""}",True,True,True,True,True,1.0,1.0,
SmolLM2,HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,email_v1_025,comparison,no_action,none,none,{},{},True,True,False,True,False,0.0,1.0,TASK_FAILURE
SmolLM2,HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,email_v1_026,comparison,no_action,none,none,{},{},True,True,False,True,False,0.0,1.0,TASK_FAILURE
SmolLM2,HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,email_v1_027,comparison,no_action,none,none,{},{},True,True,True,True,True,1.0,1.0,
SmolLM2,HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,email_v1_028,comparison,no_action,none,none,{},{},True,True,True,True,True,1.0,1.0,
SmolLM2,HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,email_v1_029,comparison,no_action,none,none,{},{},True,True,True,True,True,1.0,1.0,
SmolLM2,HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,email_v1_030,comparison,no_action,none,none,{},{},True,True,True,True,True,1.0,1.0,
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,email_v1_024,drafting,write,send_email,send_email,"{""recipient"": ""bob@example.com""}","{""body"": ""The revised budget has been approved."", ""recipient"": ""bob@example.com"", ""subject"": ""Re: Revised Budget""}",True,True,True,True,True,1.0,1.0,
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,email_v1_025,comparison,no_action,none,none,{},{},True,True,False,True,False,0.0,1.0,TASK_FAILURE
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,email_v1_026,comparison,no_action,none,none,{},{},True,True,False,True,False,0.0,1.0,TASK_FAILURE
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,email_v1_027,comparison,no_action,none,none,{},{},True,True,False,True,False,0.5,1.0,TASK_FAILURE
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,email_v1_028,comparison,no_action,none,none,{},{},True,True,True,True,True,1.0,1.0,
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,email_v1_029,comparison,no_action,none,none,{},{},True,True,True,True,True,1.0,1.0,
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,email_v1_030,comparison,no_action,none,none,{},{},True,True,True,True,True,1.0,1.0,
Phi-4-mini,microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,email_v1_024,drafting,write,send_email,send_email,"{""recipient"": ""bob@example.com""}","{""body"": ""Bob, the revised budget is approved."", ""recipient"": ""bob@example.com"", ""subject"": ""Revised Budget Approval""}",True,True,True,True,True,1.0,1.0,
Phi-4-mini,microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,email_v1_025,comparison,no_action,none,none,{},{},True,True,False,True,False,0.0,1.0,TASK_FAILURE
Phi-4-mini,microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,email_v1_026,comparison,no_action,none,none,{},{},True,True,False,True,False,0.0,1.0,TASK_FAILURE
Phi-4-mini,microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,email_v1_027,comparison,no_action,none,none,{},{},True,True,False,True,False,0.5,1.0,TASK_FAILURE
Phi-4-mini,microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,email_v1_028,comparison,no_action,none,none,{},{},True,True,False,True,False,0.0,1.0,TASK_FAILURE
Phi-4-mini,microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,email_v1_029,comparison,no_action,none,none,{},{},True,True,False,True,False,0.0,1.0,TASK_FAILURE
Phi-4-mini,microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,email_v1_030,comparison,no_action,none,none,{},{},True,True,True,True,True,1.0,1.0,
