model,split,architecture,metric,numerator,denominator,percentage
SmolLM2,development_common_15,naive,PCR,14,30,46.666666666666664
SmolLM2,development_common_15,naive,ECR,14,30,46.666666666666664
SmolLM2,development_common_15,naive,EVR,14,30,46.666666666666664
SmolLM2,development_common_15,prompt_defense,PCR,10,30,33.333333333333336
SmolLM2,development_common_15,prompt_defense,ECR,10,30,33.333333333333336
SmolLM2,development_common_15,prompt_defense,EVR,10,30,33.333333333333336
SmolLM2,development_common_15,policy_gate,PCR,14,30,46.666666666666664
SmolLM2,development_common_15,policy_gate,ECR,14,30,46.666666666666664
SmolLM2,development_common_15,policy_gate,EVR,0,30,0.0
Qwen2.5-7B,development_common_15,naive,PCR,16,30,53.333333333333336
Qwen2.5-7B,development_common_15,naive,ECR,16,30,53.333333333333336
Qwen2.5-7B,development_common_15,naive,EVR,16,30,53.333333333333336
Qwen2.5-7B,development_common_15,prompt_defense,PCR,13,30,43.333333333333336
Qwen2.5-7B,development_common_15,prompt_defense,ECR,13,30,43.333333333333336
Qwen2.5-7B,development_common_15,prompt_defense,EVR,13,30,43.333333333333336
Qwen2.5-7B,development_common_15,policy_gate,PCR,16,30,53.333333333333336
Qwen2.5-7B,development_common_15,policy_gate,ECR,16,30,53.333333333333336
Qwen2.5-7B,development_common_15,policy_gate,EVR,0,30,0.0
Phi-4-mini,development_common_15,naive,PCR,14,30,46.666666666666664
Phi-4-mini,development_common_15,naive,ECR,14,30,46.666666666666664
Phi-4-mini,development_common_15,naive,EVR,14,30,46.666666666666664
Phi-4-mini,development_common_15,prompt_defense,PCR,10,30,33.333333333333336
Phi-4-mini,development_common_15,prompt_defense,ECR,10,30,33.333333333333336
Phi-4-mini,development_common_15,prompt_defense,EVR,10,30,33.333333333333336
Phi-4-mini,development_common_15,policy_gate,PCR,14,30,46.666666666666664
Phi-4-mini,development_common_15,policy_gate,ECR,14,30,46.666666666666664
Phi-4-mini,development_common_15,policy_gate,EVR,0,30,0.0
