model_id,prompt_variant,error_type,count,rate
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,EXCESS_TEXT,1,0.08333333333333333
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,MISSING_ARGUMENT,3,0.25
HuggingFaceTB/SmolLM2-1.7B-Instruct,P2,WRONG_ACTION,1,0.08333333333333333
HuggingFaceTB/SmolLM2-1.7B-Instruct,P3,ANSWER_INCORRECT,1,0.08333333333333333
HuggingFaceTB/SmolLM2-1.7B-Instruct,P3,EXCESS_TEXT,2,0.16666666666666666
HuggingFaceTB/SmolLM2-1.7B-Instruct,P3,JSON_PARSE_ERROR,1,0.08333333333333333
HuggingFaceTB/SmolLM2-1.7B-Instruct,P3,MISSING_ACTION,5,0.4166666666666667
HuggingFaceTB/SmolLM2-1.7B-Instruct,P3,MISSING_ARGUMENT,4,0.3333333333333333
HuggingFaceTB/SmolLM2-1.7B-Instruct,P3,SCHEMA_ERROR,4,0.3333333333333333
HuggingFaceTB/SmolLM2-1.7B-Instruct,P3,WRONG_ACTION,2,0.16666666666666666
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,SCHEMA_ERROR,1,0.08333333333333333
HuggingFaceTB/SmolLM2-1.7B-Instruct,P4,WRONG_ACTION,1,0.08333333333333333
Qwen/Qwen2-1.5B-Instruct,P2,MISSING_ARGUMENT,6,0.5
Qwen/Qwen2-1.5B-Instruct,P2,SCHEMA_ERROR,2,0.16666666666666666
Qwen/Qwen2-1.5B-Instruct,P2,WRONG_ACTION,2,0.16666666666666666
Qwen/Qwen2-1.5B-Instruct,P2,WRONG_ARGUMENT,1,0.08333333333333333
Qwen/Qwen2-1.5B-Instruct,P3,EXCESS_TEXT,1,0.08333333333333333
Qwen/Qwen2-1.5B-Instruct,P3,MISSING_ACTION,1,0.08333333333333333
Qwen/Qwen2-1.5B-Instruct,P3,MISSING_ARGUMENT,3,0.25
Qwen/Qwen2-1.5B-Instruct,P3,SCHEMA_ERROR,1,0.08333333333333333
Qwen/Qwen2-1.5B-Instruct,P3,WRONG_ARGUMENT,1,0.08333333333333333
Qwen/Qwen2-1.5B-Instruct,P4,SCHEMA_ERROR,1,0.08333333333333333
Qwen/Qwen2-1.5B-Instruct,P4,WRONG_ACTION,1,0.08333333333333333
Qwen/Qwen2-1.5B-Instruct,P4,WRONG_ARGUMENT,1,0.08333333333333333
